amino acid	$HYPERNYM	alanine
amino acid	$HYPERNYM	arginine
amino acid	$HYPERNYM	asparagine
amino acid	$HYPERNYM	cysteine
amino acid	$HYPERNYM	glutamic acid
amino acid	$HYPERNYM	glutamine
amino acid	$HYPERNYM	glycine
amino acid	$HYPERNYM	isoleucine
amino acid	$HYPERNYM	leucine
amino acid	$HYPERNYM	lysine
amino acid	$HYPERNYM	methionine
amino acid	$HYPERNYM	proline
amino acid	$HYPERNYM	phenylalanine
amino acid	$HYPERNYM	serine
amino acid	$HYPERNYM	threonine
amino acid	$HYPERNYM	tryptophan
amino acid	$HYPERNYM	tyrosine
amino acid	$HYPERNYM	valine
amino acid	have	amine group
amino acid	have	carboxyl group
amino acid	in form of	protein
